Unnamed: 0,number_of_production,m,id,total_events,seed,decay_pos_x,LLP_number_per_ev,Cross_section_fb,decay_pos_y,decay_pos_t,mass_input,tau,tanb,decay_pos_z,tau_input,detected_SHiP,cross_section,detector_acceptance_SHiP,significance_lowest
6852,86882,0.0501187,999999,91124,29581,542.669,292261,889274.0,-2432.89,2492.68,0.0501187,1811.71,158.489,62475.6,565065.0,True,3.20879208792088,6.232937334048044e-06,(30546.351703837998+0j)
3772,86882,0.0446684,999999,91124,29581,687.527,292261,889274.0,-3075.36,3151.28,0.0446684,2041.5,158.489,78993.2,636737.0,True,3.20879208792088,6.232937334048044e-06,(30590.08715120733+0j)
8212,86882,0.0398107,999999,91124,29581,548.751,292261,889274.0,-2450.21,2510.91,0.0398107,1449.86,125.893,62947.8,452206.0,True,3.20879208792088,6.232937334048044e-06,(48543.24985206514+0j)
10628,86882,0.0354813,999999,91124,29581,693.4,292261,889274.0,-3091.68,3168.49,0.0354813,1630.69,125.893,79439.8,508607.0,True,3.20879208792088,6.232937334048044e-06,(48598.07743279794+0j)
13050,86882,0.0316228,999999,91124,29581,552.385,292261,889274.0,-2460.16,2521.41,0.0316228,1156.61,100.0,63220.7,360741.0,True,3.20879208792088,6.232937334048044e-06,(77100.92773014866+0j)
13272,86882,0.0281838,999999,91124,29581,697.02,292261,889274.0,-3101.55,3178.9,0.0281838,1299.67,100.0,79710.6,405363.0,True,3.20879208792088,6.232937334048044e-06,(77169.6687319076+0j)
8028,86882,0.0251189,999999,91124,29581,554.699,292261,889274.0,-2466.51,2528.11,0.0251189,921.226,79.4328,63394.7,287327.0,True,3.20879208792088,6.232937334048044e-06,(122403.47682462854+0j)
9202,86882,0.0223872,999999,91124,29581,699.411,292261,889274.0,-3108.22,3185.94,0.0223872,1034.71,79.4328,79893.1,322721.0,True,3.20879208792088,6.232937334048044e-06,(122489.69990335862+0j)
12300,86882,0.0199526,999999,91124,29581,556.297,292261,889274.0,-2471.11,2532.95,0.0199526,733.186,63.0957,63520.0,228678.0,True,3.20879208792088,6.232937334048044e-06,(194256.82153020665+0j)
6570,86882,0.0177828,999999,91124,29581,701.155,292261,889274.0,-3113.47,3191.44,0.0177828,823.344,63.0957,80034.9,256798.0,True,3.20879208792088,6.232937334048044e-06,(194365.0290610014+0j)
4448,86882,0.0158489,999999,91124,29581,557.544,292261,889274.0,-2475.07,2537.09,0.0158489,583.357,50.1187,63626.2,181947.0,True,3.20879208792088,6.232937334048044e-06,(308205.5353185401+0j)
11894,86882,0.0141254,999999,91124,29581,702.63,292261,889274.0,-3118.44,3196.61,0.0141254,655.08,50.1187,80167.1,204317.0,True,3.20879208792088,6.232937334048044e-06,(308341.4077121104+0j)
2886,86882,0.0125893,999999,91124,29581,558.696,292261,889274.0,-2479.19,2541.36,0.0125893,464.167,39.8107,63734.8,144772.0,True,3.20879208792088,6.232937334048044e-06,(488892.76926225907+0j)
12898,86882,0.0112202,999999,91124,29581,704.117,292261,889274.0,-3124.04,3202.41,0.0112202,521.298,39.8107,80313.9,162591.0,True,3.20879208792088,6.232937334048044e-06,(489063.47512949584+0j)
1884,86882,0.01,999999,91124,29581,559.918,292261,889274.0,-2483.98,2546.31,0.01,369.421,31.6228,63859.8,115221.0,True,3.20879208792088,6.232937334048044e-06,(775384.8770824882+0j)
